,activation,batch_size,epochs,eps,eta,lmbda,optimizer,sizes,Validation accuracy
0,sigmoid,32.0,1000,0.0001,0.0001,0.0,Adam,"[5, 3]",0.9279999999999999
1,sigmoid,32.0,1000,0.0001,0.001,0.0,Adam,"[5, 3]",0.9279999999999999
2,sigmoid,32.0,1000,0.0001,0.001,0.0,Adam,"[10, 5]",0.9279999999999999
3,sigmoid,32.0,1000,0.0001,0.001,0.0001,Adam,"[2, 3]",0.9279999999999999
4,sigmoid,32.0,1000,0.0001,0.001,0.0001,Adam,"[3, 5]",0.9279999999999999
5,sigmoid,32.0,1000,0.0001,0.001,0.0001,Adam,"[5, 3]",0.9279999999999999
6,sigmoid,32.0,1000,0.0001,0.001,0.0001,Adam,"[5, 10]",0.9279999999999999
7,sigmoid,32.0,1000,0.0001,0.001,0.0001,Adam,"[10, 5]",0.9279999999999999
8,sigmoid,32.0,1000,0.0001,0.001,0.001,Adam,"[2, 3]",0.9279999999999999
9,sigmoid,32.0,1000,0.0001,0.001,0.001,Adam,"[3, 5]",0.9279999999999999
10,sigmoid,32.0,1000,0.0001,0.001,0.001,Adam,"[5, 3]",0.9279999999999999
11,sigmoid,32.0,1000,0.0001,0.001,0.001,Adam,"[5, 10]",0.9279999999999999
12,sigmoid,32.0,1000,0.0001,0.01,0.0,Adam,"[2, 3]",0.9279999999999999
13,sigmoid,32.0,1000,0.0001,0.01,0.0,Adam,"[3, 5]",0.9279999999999999
14,sigmoid,32.0,1000,0.0001,0.01,0.0,Adam,"[5, 3]",0.9279999999999999
15,sigmoid,10.0,1000,0.0001,0.001,0.01,Adam,"[3, 5]",0.9279999999999999
16,sigmoid,32.0,1000,0.0001,0.01,0.0,Adam,"[5, 10]",0.9279999999999999
17,sigmoid,32.0,1000,0.0001,0.01,0.0,Adam,"[10, 5]",0.9279999999999999
18,sigmoid,32.0,1000,0.0001,0.01,0.0001,Adam,"[2, 3]",0.9279999999999999
19,sigmoid,32.0,1000,0.0001,0.001,0.0,Adam,"[5, 10]",0.9279999999999999
20,sigmoid,32.0,1000,0.0001,0.001,0.0,Adam,"[3, 5]",0.9279999999999999
21,sigmoid,32.0,1000,0.0001,0.01,0.0001,Adam,"[5, 3]",0.9279999999999999
22,sigmoid,32.0,1000,0.0001,0.001,0.0,Adam,"[2, 3]",0.9279999999999999
23,sigmoid,10.0,1000,0.0001,0.1,0.01,Adam,"[3, 5]",0.9279999999999999
24,sigmoid,10.0,1000,0.0001,0.3,0.01,Adam,"[3, 5]",0.9279999999999999
25,sigmoid,32.0,1000,0.0001,0.0001,0.0,Adam,"[2, 3]",0.9279999999999999
26,sigmoid,32.0,1000,0.0001,0.0001,0.0,Adam,"[3, 5]",0.9279999999999999
27,sigmoid,32.0,1000,0.0001,0.0001,0.0,Adam,"[5, 10]",0.9279999999999999
28,sigmoid,10.0,1000,0.0001,0.01,0.01,Adam,"[3, 5]",0.9279999999999999
29,sigmoid,32.0,1000,0.0001,0.0001,0.0,Adam,"[10, 5]",0.9279999999999999
30,sigmoid,32.0,1000,0.0001,0.0001,0.0001,Adam,"[2, 3]",0.9279999999999999
31,sigmoid,32.0,1000,0.0001,0.0001,0.0001,Adam,"[3, 5]",0.9279999999999999
32,sigmoid,32.0,1000,0.0001,0.0001,0.0001,Adam,"[5, 3]",0.9279999999999999
33,sigmoid,32.0,1000,0.0001,0.0001,0.0001,Adam,"[5, 10]",0.9279999999999999
34,sigmoid,32.0,1000,0.0001,0.0001,0.0001,Adam,"[10, 5]",0.9279999999999999
35,sigmoid,32.0,1000,0.0001,0.0001,0.001,Adam,"[2, 3]",0.9279999999999999
36,sigmoid,32.0,1000,0.0001,0.0001,0.001,Adam,"[3, 5]",0.9279999999999999
37,sigmoid,32.0,1000,0.0001,0.0001,0.001,Adam,"[5, 3]",0.9279999999999999
38,sigmoid,32.0,1000,0.0001,0.0001,0.001,Adam,"[5, 10]",0.9279999999999999
39,sigmoid,32.0,1000,0.0001,0.0001,0.001,Adam,"[10, 5]",0.9279999999999999
40,sigmoid,32.0,1000,0.0001,0.01,0.0001,Adam,"[3, 5]",0.9279999999999999
41,sigmoid,32.0,1000,0.0001,0.001,0.001,Adam,"[10, 5]",0.9279999999999999
42,sigmoid,32.0,1000,0.0001,0.01,0.0001,Adam,"[5, 10]",0.9279999999999999
43,sigmoid,32.0,1000,0.0001,0.1,0.001,Adam,"[5, 3]",0.9279999999999999
44,sigmoid,32.0,1000,0.0001,0.1,0.001,Adam,"[10, 5]",0.9279999999999999
45,sigmoid,32.0,1000,0.0001,0.3,0.0,Adam,"[2, 3]",0.9279999999999999
