,activation,batch_size,epochs,eps,eta,lmbda,momentum,nesterov,optimizer,sizes,Validation accuracy
0,sigmoid,32.0,500,1e-06,0.0001,0.0001,0.9,True,SGD,"[10, 5]",0.9279999999999999
1,sigmoid,32.0,500,1e-06,0.0001,0.0001,0.0,True,SGD,"[3, 5]",0.9279999999999999
2,sigmoid,10.0,500,1e-06,0.01,0.0,0.9,False,SGD,"[10, 5]",0.9279999999999999
3,sigmoid,10.0,500,1e-06,0.01,0.0,0.9,False,SGD,"[5, 10]",0.9279999999999999
4,sigmoid,32.0,500,1e-06,0.0001,0.0,0.9,False,SGD,"[10, 5]",0.9279999999999999
5,sigmoid,10.0,500,1e-06,0.01,0.0,0.9,False,SGD,"[3, 5]",0.9279999999999999
6,sigmoid,32.0,500,1e-06,0.1,0.0001,0.0,False,SGD,"[10, 5]",0.9279999999999999
7,sigmoid,10.0,500,1e-06,0.01,0.0,0.9,True,SGD,"[10, 5]",0.9279999999999999
8,sigmoid,10.0,500,1e-06,0.01,0.0,0.9,True,SGD,"[5, 10]",0.9279999999999999
9,sigmoid,10.0,500,1e-06,0.01,0.0,0.9,True,SGD,"[3, 5]",0.9279999999999999
10,sigmoid,32.0,500,1e-06,0.1,0.0001,0.9,True,SGD,"[3, 5]",0.9279999999999999
11,sigmoid,32.0,500,1e-06,0.1,0.0001,0.0,False,SGD,"[3, 5]",0.9279999999999999
12,sigmoid,10.0,500,1e-06,0.01,0.0,0.5,False,SGD,"[10, 5]",0.9279999999999999
13,sigmoid,10.0,500,1e-06,0.01,0.0,0.5,False,SGD,"[5, 10]",0.9279999999999999
14,sigmoid,32.0,500,1e-06,0.0001,0.0001,0.0,True,SGD,"[10, 5]",0.9279999999999999
15,sigmoid,10.0,500,1e-06,0.01,0.0,0.5,False,SGD,"[3, 5]",0.9279999999999999
16,sigmoid,32.0,500,1e-06,0.1,0.0001,0.0,True,SGD,"[10, 5]",0.9279999999999999
17,sigmoid,10.0,500,1e-06,0.01,0.0,0.5,True,SGD,"[10, 5]",0.9279999999999999
18,sigmoid,32.0,500,1e-06,0.1,0.0001,0.5,True,SGD,"[3, 5]",0.9279999999999999
19,sigmoid,10.0,500,1e-06,0.01,0.0001,0.0,True,SGD,"[3, 5]",0.9279999999999999
20,sigmoid,32.0,500,1e-06,0.0001,0.0,0.9,False,SGD,"[3, 5]",0.9279999999999999
21,sigmoid,10.0,500,1e-06,0.01,0.0001,0.0,True,SGD,"[5, 10]",0.9279999999999999
22,sigmoid,10.0,500,1e-06,0.01,0.0001,0.5,False,SGD,"[5, 10]",0.9279999999999999
23,sigmoid,32.0,500,1e-06,0.0001,0.0,0.5,False,SGD,"[10, 5]",0.9279999999999999
24,sigmoid,10.0,500,1e-06,0.01,0.0001,0.5,False,SGD,"[3, 5]",0.9279999999999999
25,sigmoid,32.0,500,1e-06,0.1,0.0001,0.5,False,SGD,"[10, 5]",0.9279999999999999
26,sigmoid,10.0,500,1e-06,0.01,0.0001,0.5,True,SGD,"[10, 5]",0.9279999999999999
27,sigmoid,10.0,500,1e-06,0.01,0.0001,0.5,True,SGD,"[5, 10]",0.9279999999999999
28,sigmoid,32.0,500,1e-06,0.0001,0.0,0.9,True,SGD,"[3, 5]",0.9279999999999999
29,sigmoid,10.0,500,1e-06,0.01,0.0001,0.5,True,SGD,"[3, 5]",0.9279999999999999
30,sigmoid,32.0,500,1e-06,0.1,0.0001,0.5,False,SGD,"[3, 5]",0.9279999999999999
31,sigmoid,10.0,500,1e-06,0.01,0.0001,0.0,False,SGD,"[10, 5]",0.9279999999999999
32,sigmoid,10.0,500,1e-06,0.01,0.0001,0.0,False,SGD,"[5, 10]",0.9279999999999999
33,sigmoid,32.0,500,1e-06,0.0001,0.0,0.9,True,SGD,"[10, 5]",0.9279999999999999
34,sigmoid,10.0,500,1e-06,0.01,0.0001,0.0,False,SGD,"[3, 5]",0.9279999999999999
35,sigmoid,32.0,500,1e-06,0.1,0.0001,0.5,True,SGD,"[10, 5]",0.9279999999999999
36,sigmoid,10.0,500,1e-06,0.01,0.0001,0.0,True,SGD,"[10, 5]",0.9279999999999999
37,sigmoid,10.0,500,1e-06,0.01,0.0,0.5,True,SGD,"[5, 10]",0.9279999999999999
38,sigmoid,32.0,500,1e-06,0.0001,0.0001,0.0,False,SGD,"[3, 5]",0.9279999999999999
39,sigmoid,10.0,500,1e-06,0.01,0.0,0.5,True,SGD,"[3, 5]",0.9279999999999999
40,sigmoid,32.0,500,1e-06,0.0001,0.0001,0.5,False,SGD,"[10, 5]",0.9279999999999999
41,sigmoid,32.0,500,1e-06,0.1,0.0,0.5,False,SGD,"[10, 5]",0.9279999999999999
42,sigmoid,32.0,500,1e-06,0.0001,0.0001,0.9,True,SGD,"[3, 5]",0.9279999999999999
43,sigmoid,10.0,500,1e-06,0.001,0.001,0.5,False,SGD,"[5, 10]",0.9279999999999999
44,sigmoid,32.0,500,1e-06,0.1,0.0,0.5,False,SGD,"[3, 5]",0.9279999999999999
45,sigmoid,10.0,500,1e-06,0.001,0.001,0.5,False,SGD,"[3, 5]",0.9279999999999999
46,sigmoid,10.0,500,1e-06,0.1,0.001,0.0,True,SGD,"[3, 5]",0.9279999999999999
47,sigmoid,32.0,500,1e-06,0.1,0.0,0.5,True,SGD,"[10, 5]",0.9279999999999999
48,sigmoid,10.0,500,1e-06,0.001,0.001,0.5,True,SGD,"[5, 10]",0.9279999999999999
